-8388608,-8388608,8388607,8388607,3,7,14,1,0,21,-2,1,9,0,-2,8,-971043,-988448,-996538,-1007151
-8388608,-8388608,8388607,8388607,3,7,14,1,0,21,-2,1,9,0,-2,8,-971032,-988556,-996383,-1007001
-5140680,-8388608,8388607,8388607,3,7,14,-5,-5,26,-2,1,9,0,-2,8,-970874,-988366,-996379,-1007029
-5140680,-8388608,8388607,8388607,3,7,14,-5,-5,26,3,-4,8,0,-2,8,-971049,-988336,-996467,-1007118
-2016158,-7368494,8388607,8388607,3,7,14,-5,-5,26,3,-4,8,0,-2,8,-971032,-988462,-996516,-1007167
-1777416,-4004842,5685138,8388607,3,7,14,-5,-5,26,3,-4,8,0,-2,8,-971015,-988469,-996506,-1007117
129919,-1424929,1204691,2595308,8,23,3,-5,-5,30,3,-4,18,0,-2,11,-971015,-988469,-996506,-1007117
263401,-265771,-61233,-15495,8,23,3,-5,-5,30,3,-4,18,25,-8,24,-971183,-988596,-996557,-1007129
-946317,-958653,1359285,1664862,8,23,3,-5,-5,30,3,-4,18,25,-8,24,-971009,-988322,-996563,-1007230
-3881688,-3701054,5274343,6560392,8,23,3,1,-2,36,3,-4,18,25,-8,24,-971087,-988505,-996541,-1007087
-8339866,-7643061,8388607,8388607,8,23,3,1,-2,36,3,-4,18,25,-8,24,-971040,-988331,-996482,-1007025
-8388608,-8388608,8388607,8388607,8,23,3,1,-2,36,3,-4,18,25,-8,24,-970927,-988389,-996535,-1007046
-8388608,-8388608,8388607,8388607,8,23,3,1,-2,36,-7,-9,-5,25,-8,24,-970945,-988203,-996560,-1007191
-4712738,-8388608,8388607,8388607,8,23,3,1,-2,36,-7,-9,-5,25,-8,24,-971290,-988770,-996570,-1007236
-1787325,-7351979,8388607,8388607,8,23,3,1,-2,36,-7,-9,-5,25,-8,24,-971015,-988433,-996516,-1007100
-1569267,-3974899,5443208,6832943,8,23,3,1,-2,36,-7,-9,-5,25,-8,24,-971025,-988479,-996615,-1007176
466143,-1400996,830084,-87411,-24,-47,-26,1,-2,26,-7,-9,8,25,-8,8,-971025,-988479,-996615,-1007176
466143,-1400996,830084,-87411,-24,-47,-26,1,-2,26,-7,-9,8,4,0,10,-970839,-988230,-996499,-1007157
-934832,-941654,1340533,1786950,-24,-47,-26,1,-2,26,-7,-9,8,4,0,10,-971101,-988543,-996457,-1007158
-3854185,-3616239,5231990,6836578,-24,-47,-26,-5,-1,30,-7,-9,8,4,0,10,-971101,-988543,-996457,-1007158
-8305865,-7514229,8388607,8388607,-24,-47,-26,-5,-1,30,-7,-9,8,4,0,10,-971097,-988405,-996458,-1007176
-8388608,-8388608,8388607,8388607,-24,-47,-26,-5,-1,30,-7,-9,8,4,0,10,-971030,-988448,-996518,-1007100
-8388608,-8388608,8388607,8388607,-24,-47,-26,-5,-1,30,2,-4,17,4,0,10,-970948,-988318,-996574,-1007206
-4689110,-8388608,8388607,8388607,-24,-47,-26,-5,-1,30,2,-4,17,4,0,10,-971140,-988600,-996501,-1007088
-1632239,-7264222,8388607,8388607,-24,-47,-26,-5,-1,30,2,-4,17,4,0,10,-971050,-988353,-996528,-1007183
-1629277,-3947101,5480752,8388607,-24,-47,-26,-5,-1,30,2,-4,17,4,0,10,-971011,-988421,-996468,-1007187
134043,-1421217,1197367,3265127,-24,-47,-26,-5,-1,30,2,-4,17,4,0,10,-970923,-988394,-996536,-1007159
285234,-278805,-72639,216073,3,25,46,-5,-1,36,2,-4,-5,-3,-1,24,-971068,-988505,-996566,-1007156
-921892,-929484,1315911,1752879,3,25,46,-5,-1,36,2,-4,-5,-3,-1,24,-970998,-988274,-996606,-1007145
-3790949,-3519634,5130943,6716077,3,25,46,-3,-1,30,2,-4,-5,-3,-1,24,-970998,-988274,-996606,-1007145
-8219000,-7309207,8388607,8388607,3,25,46,-3,-1,30,2,-4,-5,-3,-1,24,-970942,-988332,-996448,-1007096
-8388608,-8388608,8388607,8388607,3,25,46,-3,-1,30,1,-6,18,-3,-1,24,-971112,-988480,-996449,-1007193
-8388608,-8388608,8388607,8388607,3,25,46,-3,-1,30,1,-6,18,-3,-1,24,-971011,-988516,-996509,-1007180
-4212392,-8388608,8388607,8388607,3,25,46,-3,-1,30,1,-6,18,-3,-1,24,-971035,-988388,-996668,-1007250
-1398859,-7093251,8135387,8388607,3,25,46,-3,-1,30,1,-6,18,-3,-1,24,-970990,-988454,-996651,-1007335
-1491149,-3868142,5264077,8388607,3,25,46,-3,-1,30,1,-6,18,-3,-1,24,-971056,-988533,-996561,-1007227
204429,-1404022,1110434,3266561,3,25,46,-3,-1,30,1,-6,18,-3,-1,24,-970715,-988335,-996621,-1007312
308844,-280670,-94460,211525,26,0,-36,-3,-1,30,1,-6,17,-3,-1,10,-970829,-988382,-996671,-1007225
-894271,-901639,1271699,1716476,26,0,-36,-3,-1,30,1,-6,17,2,7,13,-970778,-988454,-996581,-1007254
-3690391,-3388685,4982909,6629663,26,0,-36,-3,8,30,1,-6,17,2,7,13,-970716,-988334,-996686,-1007313
-8078111,-7061392,8388607,8388607,26,0,-36,-3,8,30,1,-6,17,2,7,13,-970905,-988597,-996613,-1007156
-8388608,-8388608,8388607,8388607,26,0,-36,-3,8,30,-13,3,14,2,7,13,-970836,-988553,-996734,-1007337
-8388608,-8388608,8388607,8388607,26,0,-36,-3,8,30,-13,3,14,2,7,13,-970954,-988495,-996652,-1007279
-3863619,-8388608,8388607,8388607,26,0,-36,-3,8,30,-13,3,14,2,7,13,-970810,-988420,-996696,-1007304
-1260236,-6898126,7884056,8388607,26,0,-36,-3,8,30,-13,3,14,2,7,13,-970786,-988421,-996703,-1007271
-1383391,-3774976,5063303,8388607,26,0,-36,-3,8,30,-13,3,14,2,7,13,-970797,-988362,-996653,-1007240
255878,-1369669,1028202,3220511,26,0,-36,-3,8,30,-13,3,14,2,7,13,-970910,-988382,-996576,-1007262
317071,-270151,-106792,189670,-5,6,-12,-3,8,30,-13,3,18,2,7,24,-970606,-988011,-996452,-1007266
-850557,-858571,1203623,1658133,-5,6,-12,-3,8,30,-13,3,18,-2,1,18,-970743,-988363,-996573,-1007246
-3552458,-3229158,4783575,6508126,-5,6,-12,1,5,24,-13,3,18,-2,1,18,-970743,-988363,-996573,-1007246
-7884769,-6761317,8388607,8388607,-5,6,-12,1,5,24,-13,3,18,-2,1,18,-970735,-988307,-996615,-1007255
-8388608,-8388608,8388607,8388607,-5,6,-12,1,5,24,-13,3,18,-2,1,18,-970762,-988369,-996552,-1007264
-8062230,-8388608,8388607,8388607,-5,6,-12,1,5,24,12,10,5,-2,1,18,-970956,-988465,-996670,-1007355
-3597411,-8388608,8388607,8388607,-5,6,-12,1,5,24,12,10,5,-2,1,18,-970876,-988503,-996509,-1007277
-1111606,-6790251,7678878,8388607,-5,6,-12,1,5,24,12,10,5,-2,1,18,-970770,-988305,-996552,-1007227
-1248184,-3753807,4907556,8388607,-5,6,-12,1,5,24,12,10,5,-2,1,18,-970892,-988296,-996537,-1007270
319034,-1402043,995811,3359831,-5,6,-12,1,5,24,12,10,5,-2,1,18,-970891,-988386,-996532,-1007249
339798,-291947,-114221,246168,2,-9,-1,1,5,30,12,10,14,-2,1,13,-970758,-988271,-996583,-1007309
-811657,-822371,1145164,1610014,2,-9,-1,1,5,30,12,10,14,-16,-1,8,-970758,-988271,-996583,-1007309
-3428107,-3086199,4602047,6393438,2,-9,-1,-22,-1,28,12,10,14,-16,-1,8,-970789,-988465,-996530,-1007226
-7700457,-6516509,8388607,8388607,2,-9,-1,-22,-1,28,12,10,14,-16,-1,8,-970762,-988328,-996516,-1007274
-8388608,-8388608,8388607,8388607,2,-9,-1,-22,-1,28,-11,-14,17,-16,-1,8,-970762,-988328,-996516,-1007274
-7720021,-8388608,8388607,8388607,2,-9,-1,-22,-1,28,-11,-14,17,-16,-1,8,-970757,-988246,-996536,-1007266
-3339272,-8388608,8388607,8388607,2,-9,-1,-22,-1,28,-11,-14,17,-16,-1,8,-970922,-988486,-996680,-1007321
-1039621,-6657850,7514561,8388607,2,-9,-1,-22,-1,28,-11,-14,17,-16,-1,8,-970910,-988476,-996658,-1007295
-1127798,-3685237,4718472,8388607,2,-9,-1,-22,-1,28,-11,-14,17,-16,-1,8,-970968,-988526,-996622,-1007296
400949,-1375911,887294,3313452,2,-9,-1,-22,-1,28,-11,-14,17,-16,-1,8,-970833,-988541,-996637,-1007265
345242,-284162,-128401,237843,19,-3,5,-22,-1,24,-11,-14,5,-16,-1,18,-970776,-988272,-996551,-1007285
