13375,-109436,63695,-35842,0,0,0,0,9,46,50,84,65,45,47,61,-17,80,4,41,54,65,59
13375,-109436,63695,-35842,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13396,-109264,63503,-35447,0,0,0,0,41,-23,31,-158,-1,28,-49,36,-8,74,26,31,-142,-15,-351
13497,-109142,63329,-35161,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13493,-109279,63312,-35527,0,0,0,0,-119,9,-3,-65,-13,-30,-49,36,-8,-134,15,-20,-67,-25,115
13493,-109279,63312,-35527,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13674,-100352,7744,-5529659,0,0,0,0,-19,-14,-38,-52,-15,-2,13,1,34,-61,15,-28,-76,10,-93
13740,-109207,63342,-35391,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13673,-109371,63363,-35442,0,0,0,0,-3,-1,-7,5,-4,-9,0,14,28,-69,20,-45,8,4,18
13715,-109377,63329,-35417,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13800,-109351,63274,-35435,0,0,0,0,35,-12,4,41,2,30,23,26,15,21,11,-6,52,-4,-16
13956,-109337,63102,-35272,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13979,-109259,62959,-35253,0,0,0,0,57,-20,29,63,7,40,29,33,6,45,-8,-5,74,0,0
14006,-109214,63010,-35348,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13878,-109327,63065,-35479,0,0,0,0,27,-17,29,46,5,43,29,30,8,57,-12,18,55,-10,19
13900,-109346,63171,-35328,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13920,-109382,63221,-35275,0,0,0,0,-2,-13,24,12,0,36,18,33,4,29,-12,4,15,-9,25
14112,-109368,63198,-35130,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14118,-109479,63104,-35039,0,0,0,0,-31,-2,21,-15,5,27,11,34,10,-10,-5,12,-10,-9,31
14096,-109461,63045,-34746,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14144,-109449,63046,-34712,0,0,0,0,-40,3,1,-29,1,10,5,29,13,-34,-2,0,-32,-8,32
13959,-109496,63193,-34891,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13899,-109450,63201,-34964,0,0,0,0,-27,-1,-2,-25,0,15,-1,20,10,-38,-4,-2,-23,-9,19
13929,-109394,62984,-35045,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14074,-109449,63028,-34961,0,0,0,0,-15,-2,-6,-14,9,17,0,27,12,-38,0,-4,-9,-8,21
14137,-109426,62971,-34636,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14128,-109369,62936,-34404,0,0,0,0,-11,-5,0,10,3,25,13,21,16,-11,-3,-2,10,-3,13
13930,-109487,63266,-34419,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14013,-109597,63320,-34232,0,0,0,0,1,-6,17,10,-1,24,22,27,10,-5,3,-5,15,-5,12
14286,-109656,63174,-34142,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14219,-109620,63147,-34099,0,0,0,0,7,0,24,21,10,32,19,28,7,8,1,5,19,-6,19
14031,-109549,63231,-34254,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14060,-109372,63061,-34471,0,0,0,0,-11,0,33,19,12,28,19,40,6,9,2,2,27,3,25
14061,-109324,63071,-34691,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
